file_id,sentence,term,Company,Industry,Region,Year,Company Report,Recommended Disclosure,Report URL
100," Repsol publishes additional climate change information in the CDP (Climate Disclosure Project) survey available at www.cdp.net.Ambition: Position ourselves in a scenario compatible with the Paris AgreementGSPaRepsol is committed  to accessible, affordable and low-carbon energy.Integrated Management Report | Sustainability63and monitoring the Company's climate change objectives, action plans and practices",climate disclosure,Repsol,Energy,Europe,2018,"Integrated Management Report 2018, p. 68",Metrics and Targets a); Metrics and Targets b); Metrics and Targets c),https://www.repsol.com/content/dam/repsol-corporate/en_gb/sostenibilidad/reports/2018/integrated-management_report_and_independent_verification_report_non-financial_2018_tcm14-147660.pdf#page=68
117,"Significant non-financial risk factors for the Group(1) and recap on the main policies to limit their occurrenceIT systems failure (cybercrime) Policies and procedures to manage IT security risks  2018-2020 information systems security (ISS) blueprint225227Corruption Group’s normative framework (management of non-compliance/regulatory risks)The Anti-Corruption and Influence Peddling CodeCode of ConductCulture and Conduct programmeDuty of Care Plan245245260260297Data protection Customers data protection policyGroup’s guidelines and internal measuresDuty of Care Plan245245297Environmental and Social (E&S) issues that could have an impact on the Group’s reputationE&S risk management in the businesses:Normative frameworkpE&S procedures and toolspE&S risk management processpProcess of E&S alert management from stakeholderspManaging the Group’s direct environmental impact:Carbon reduction programme (2014-2020)pResponsible Sourcing Policyp277278279280281272272                                                273Non-compliance with laws or the Group’s E&S commitmentsMeasures to protect customers:Regulatory risk managementpCustomer Claims Processing policypPositive climate policies:Approach to aligning the Group’s activities with the Paris Agreement targetspCommitment to reducing activities related to fossil fuelspCommitment to promoting energy transitionpClimate strategy and Climate governanceDeveloping SPIF and SPI activities271 ; 243242271 ; 243282282282283283285Non-compliance with labour regulations Paragraph: Risks related to non-compliance with regulations and internal corporate rules and to poor working conditions:Processes on the employer’s five key missionspCollective agreements signed with the social partnerspDiversity and inclusion policypDuty of Care Plan265265266266297Non-compliance with health and safety standardsParagraph: Risks related to non-compliance with regulations and internal corporate rules and to poor working conditions:Health, safety and prevention policypLife at Work programmepRisk related to security of property and people265267268224E&S issues which could affect the Group’s credit risk, especially climate change issues (may become more significant over time)Environmental and social (E&S) general guidelinesClimate governancePolicies for evaluating climate risks278284199Employee misconduct Leadership ModelCode of ConductCulture and Conduct programme260260260See page 259 for the methodology used to identify these risk factors",climate governance,Société Générale,Banking,Europe,2020,"Universal Registration Document 2020, p. 284",Risk Management c),https://www.societegenerale.com/sites/default/files/documents/Document-d-enregistrement-universel/2020/sg_urd_eng_2020.pdf#page=286
116,27.0 6.201 9 C0       CLIMATE DISCLOSURE   Societe Generale’s Task Force on Climate -related Financial Disclosures Report  June 2019     CLIMATE DISCLOSURE  C0     │ 1  TABLE OF CONTENTS  1,climate disclosure,Société Générale,Banking,Europe,2019,"Societe Generale’s Task Force on Climate-related Financial Disclosures Report, pp. 11 and 13",Strategy a),https://www.societegenerale.com/sites/default/files/documents/Document%20RSE/climate-disclosure-societe-generale-tcfd-report-june.pdf#page=12
116, 17 CLIMATE DISCLOSURE  C0     │ 2  3.5.1  Operating costs and revenues  ...............................,climate disclosure,Société Générale,Banking,Europe,2019,"Societe Generale’s Task Force on Climate-related Financial Disclosures Report, pp. 11 and 13",Strategy a),https://www.societegenerale.com/sites/default/files/documents/Document%20RSE/climate-disclosure-societe-generale-tcfd-report-june.pdf#page=12
116, 32 CLIMATE DISCLOSURE  C0     │ 3  5.3.3  Carbon targets  ...............................,climate disclosure,Société Générale,Banking,Europe,2019,"Societe Generale’s Task Force on Climate-related Financial Disclosures Report, pp. 11 and 13",Strategy a),https://www.societegenerale.com/sites/default/files/documents/Document%20RSE/climate-disclosure-societe-generale-tcfd-report-june.pdf#page=12
116,30 CLIMATE DISCLOSURE  C0     │ 4  1,climate disclosure,Société Générale,Banking,Europe,2019,"Societe Generale’s Task Force on Climate-related Financial Disclosures Report, pp. 11 and 13",Strategy a),https://www.societegenerale.com/sites/default/files/documents/Document%20RSE/climate-disclosure-societe-generale-tcfd-report-june.pdf#page=12
116,                                                                          1 IPCC (2018) https://www.ipcc.ch/site/assets/uploads/sites/2/20 18/07/SR15_SPM_version_stand_alone_LR.pdf   2 Paris Agreement (2015) https://unfccc.int/files/meetings/paris_nov_2015/application/pdf/paris_agreeme nt_english_.pdf  3 Recommendations of the TCFD (2017) https://www.fsb -tcfd.org/publications/final -recommendations -report/   CLIMATE DISCLOSURE  C0     │ 5  2,climate disclosure,Société Générale,Banking,Europe,2019,"Societe Generale’s Task Force on Climate-related Financial Disclosures Report, pp. 11 and 13",Strategy a),https://www.societegenerale.com/sites/default/files/documents/Document%20RSE/climate-disclosure-societe-generale-tcfd-report-june.pdf#page=12
116,(LOD2 –KYC & credit decision)2345126Climate risk integratedinto the risk management framework (Climate Risk Committee )CLIMATE DISCLOSURE  C0     │ 6  2.2,climate disclosure,Société Générale,Banking,Europe,2019,"Societe Generale’s Task Force on Climate-related Financial Disclosures Report, pp. 11 and 13",Strategy a),https://www.societegenerale.com/sites/default/files/documents/Document%20RSE/climate-disclosure-societe-generale-tcfd-report-june.pdf#page=12
116," CLIMATE DISCLOSURE  C0     │ 7  • A dedicated Deputy CEO (Diony Lebot) who has overall responsibility for CSR affairs and is responsible for supervising the control functions (Risks, Finance and Compliance)",climate disclosure,Société Générale,Banking,Europe,2019,"Societe Generale’s Task Force on Climate-related Financial Disclosures Report, pp. 11 and 13",Strategy a),https://www.societegenerale.com/sites/default/files/documents/Document%20RSE/climate-disclosure-societe-generale-tcfd-report-june.pdf#page=12
116, CLIMATE DISCLOSURE  C0     │ 8  2.3.3  Risk appetite setting on sectors sensitive to climate issues  The CORISQ reviews the main credit portfolios and those which present concentration risk characteristic s and defines the risk appetite on these portfolios,climate disclosure,Société Générale,Banking,Europe,2019,"Societe Generale’s Task Force on Climate-related Financial Disclosures Report, pp. 11 and 13",Strategy a),https://www.societegenerale.com/sites/default/files/documents/Document%20RSE/climate-disclosure-societe-generale-tcfd-report-june.pdf#page=12
